ID_Resposta,Faixa_etaria,Canal_de_atendimento,Tempo_de_espera_minutos,Problema_foi_resolvido,Precisou_contato_novamente,Atendimento_foi_cordial,Facilidade_para_resolver_1_a_5,Nota_para_o_atendimento_1_a_5,Voltaria_a_comprar,Satisfacao
1,41-60,Chat no site,6,Nao,Nao,Sim,1,4,Nao,Nao-Satisfeito
2,26-40,WhatsApp,4,Sim,Nao,Sim,2,5,Sim,Satisfeito
3,41-60,Telefone,11,Sim,Nao,Sim,2,5,Sim,Satisfeito
4,41-60,Chat no site,5,Sim,Sim,Sim,3,3,Nao,Nao-Satisfeito
5,18-25,Telefone,16,Sim,Nao,Nao,4,5,Sim,Satisfeito
6,60+,WhatsApp,4,Sim,Nao,Sim,3,5,Sim,Satisfeito
7,41-60,E-mail,30,Sim,Nao,Sim,4,5,Sim,Satisfeito
8,41-60,Chat no site,4,Sim,Sim,Sim,4,5,Sim,Satisfeito
9,18-25,Chat no site,4,Sim,Nao,Sim,4,5,Sim,Satisfeito
10,26-40,WhatsApp,8,Nao,Sim,Sim,1,2,Nao,Nao-Satisfeito
11,26-40,WhatsApp,1,Sim,Nao,Sim,4,5,Sim,Satisfeito
12,60+,Presencial,6,Sim,Nao,Sim,4,4,Sim,Satisfeito
13,26-40,WhatsApp,1,Sim,Nao,Nao,3,4,Nao,Nao-Satisfeito
14,41-60,WhatsApp,1,Sim,Nao,Sim,4,5,Sim,Satisfeito
15,26-40,Telefone,8,Sim,Nao,Sim,4,5,Sim,Satisfeito
16,18-25,Chat no site,6,Nao,Nao,Sim,1,1,Sim,Nao-Satisfeito
17,26-40,Presencial,13,Sim,Nao,Nao,2,3,Sim,Nao-Satisfeito
18,18-25,WhatsApp,6,Sim,Nao,Sim,3,5,Sim,Satisfeito
19,41-60,Presencial,22,Sim,Nao,Sim,3,4,Sim,Satisfeito
20,26-40,WhatsApp,9,Sim,Nao,Sim,4,5,Sim,Satisfeito
21,41-60,Telefone,11,Sim,Nao,Sim,3,4,Sim,Satisfeito
22,26-40,Chat no site,8,Nao,Sim,Nao,1,3,Nao,Nao-Satisfeito
23,60+,WhatsApp,6,Sim,Nao,Sim,4,5,Sim,Satisfeito
24,41-60,WhatsApp,3,Sim,Nao,Sim,4,5,Sim,Satisfeito
25,41-60,Telefone,8,Nao,Sim,Sim,3,5,Sim,Nao-Satisfeito
26,18-25,Presencial,5,Sim,Nao,Sim,5,5,Sim,Satisfeito
27,26-40,Telefone,7,Nao,Sim,Nao,1,2,Nao,Nao-Satisfeito
28,18-25,Presencial,12,Sim,Nao,Sim,5,5,Sim,Satisfeito
29,18-25,E-mail,34,Sim,Nao,Sim,2,4,Nao,Nao-Satisfeito
30,41-60,Telefone,21,Sim,Nao,Nao,3,4,Nao,Nao-Satisfeito
31,41-60,Chat no site,1,Sim,Nao,Nao,3,4,Sim,Nao-Satisfeito
32,60+,WhatsApp,7,Nao,Sim,Sim,2,3,Nao,Nao-Satisfeito
33,26-40,WhatsApp,3,Sim,Nao,Sim,2,5,Nao,Satisfeito
34,26-40,E-mail,30,Sim,Nao,Sim,3,4,Sim,Satisfeito
35,26-40,Chat no site,4,Sim,Sim,Sim,2,5,Sim,Satisfeito
36,18-25,WhatsApp,1,Sim,Nao,Sim,4,5,Sim,Satisfeito
37,18-25,Telefone,17,Nao,Sim,Sim,3,4,Nao,Nao-Satisfeito
38,26-40,Telefone,8,Nao,Sim,Nao,1,2,Sim,Nao-Satisfeito
39,18-25,E-mail,18,Sim,Nao,Nao,3,5,Sim,Satisfeito
40,41-60,Telefone,6,Sim,Nao,Nao,2,3,Nao,Nao-Satisfeito
41,26-40,Telefone,8,Sim,Nao,Nao,2,3,Sim,Nao-Satisfeito
42,41-60,WhatsApp,7,Sim,Nao,Sim,4,5,Sim,Satisfeito
43,41-60,Telefone,10,Nao,Sim,Sim,2,3,Sim,Nao-Satisfeito
44,26-40,Chat no site,5,Sim,Nao,Sim,5,5,Nao,Satisfeito
45,41-60,E-mail,29,Sim,Nao,Sim,3,4,Nao,Nao-Satisfeito
46,41-60,Telefone,19,Sim,Nao,Sim,4,4,Sim,Satisfeito
47,26-40,WhatsApp,5,Nao,Sim,Sim,2,2,Nao,Nao-Satisfeito
48,26-40,WhatsApp,2,Sim,Nao,Sim,4,4,Sim,Satisfeito
49,41-60,Chat no site,7,Sim,Nao,Sim,3,5,Sim,Satisfeito
50,18-25,E-mail,21,Sim,Nao,Sim,3,5,Sim,Satisfeito
51,18-25,WhatsApp,9,Sim,Nao,Sim,3,5,Sim,Satisfeito
52,18-25,WhatsApp,7,Sim,Nao,Sim,3,3,Sim,Nao-Satisfeito
53,41-60,Telefone,11,Sim,Nao,Sim,4,5,Sim,Satisfeito
54,41-60,WhatsApp,6,Sim,Nao,Nao,3,4,Sim,Nao-Satisfeito
55,41-60,E-mail,46,Nao,Nao,Nao,1,3,Nao,Nao-Satisfeito
56,41-60,WhatsApp,11,Sim,Nao,Sim,5,4,Sim,Satisfeito
57,26-40,WhatsApp,6,Sim,Sim,Sim,5,5,Sim,Satisfeito
58,26-40,Presencial,16,Nao,Nao,Sim,1,4,Sim,Nao-Satisfeito
59,18-25,WhatsApp,8,Sim,Nao,Sim,4,5,Sim,Satisfeito
60,18-25,WhatsApp,3,Sim,Nao,Nao,2,4,Sim,Satisfeito
61,41-60,WhatsApp,6,Sim,Nao,Sim,3,5,Sim,Satisfeito
62,26-40,WhatsApp,5,Nao,Sim,Sim,1,3,Nao,Nao-Satisfeito
63,26-40,WhatsApp,6,Sim,Nao,Sim,5,5,Sim,Satisfeito
64,41-60,WhatsApp,3,Sim,Nao,Sim,4,5,Sim,Satisfeito
65,26-40,WhatsApp,1,Nao,Sim,Nao,1,2,Sim,Nao-Satisfeito
66,26-40,WhatsApp,1,Sim,Sim,Sim,5,4,Nao,Nao-Satisfeito
67,26-40,Telefone,5,Sim,Nao,Sim,2,5,Sim,Satisfeito
68,26-40,Chat no site,3,Sim,Nao,Sim,2,5,Sim,Satisfeito
69,18-25,WhatsApp,5,Sim,Nao,Sim,4,5,Sim,Satisfeito
70,26-40,WhatsApp,11,Sim,Nao,Nao,3,4,Sim,Satisfeito
71,18-25,Telefone,17,Sim,Nao,Nao,3,4,Nao,Nao-Satisfeito
72,26-40,E-mail,14,Sim,Nao,Sim,2,4,Sim,Satisfeito
73,41-60,E-mail,28,Sim,Nao,Sim,3,4,Sim,Satisfeito
74,18-25,WhatsApp,4,Nao,Nao,Sim,4,4,Sim,Satisfeito
75,18-25,WhatsApp,5,Sim,Nao,Sim,4,5,Nao,Satisfeito
76,26-40,WhatsApp,6,Sim,Nao,Nao,3,3,Nao,Nao-Satisfeito
77,26-40,WhatsApp,7,Sim,Nao,Sim,3,5,Sim,Satisfeito
78,41-60,Telefone,10,Sim,Nao,Sim,3,4,Sim,Satisfeito
79,26-40,Telefone,17,Sim,Nao,Nao,1,3,Sim,Nao-Satisfeito
80,41-60,WhatsApp,2,Sim,Sim,Sim,4,4,Sim,Satisfeito
81,41-60,WhatsApp,6,Nao,Sim,Sim,3,4,Sim,Nao-Satisfeito
82,26-40,Telefone,26,Sim,Nao,Sim,2,4,Sim,Satisfeito
83,41-60,WhatsApp,6,Sim,Nao,Sim,3,5,Sim,Satisfeito
84,18-25,E-mail,41,Nao,Sim,Sim,1,2,Nao,Nao-Satisfeito
85,18-25,WhatsApp,6,Sim,Nao,Sim,3,3,Nao,Nao-Satisfeito
86,18-25,Presencial,18,Sim,Nao,Nao,3,4,Sim,Nao-Satisfeito
87,41-60,WhatsApp,5,Sim,Nao,Nao,1,5,Sim,Satisfeito
88,26-40,E-mail,23,Sim,Nao,Sim,4,5,Sim,Satisfeito
89,18-25,E-mail,16,Sim,Nao,Sim,4,5,Nao,Satisfeito
90,26-40,Presencial,17,Nao,Sim,Sim,1,3,Nao,Nao-Satisfeito
91,18-25,E-mail,15,Sim,Nao,Nao,1,4,Nao,Nao-Satisfeito
92,41-60,Chat no site,6,Sim,Nao,Sim,3,4,Sim,Nao-Satisfeito
93,26-40,Chat no site,7,Sim,Nao,Sim,4,4,Sim,Satisfeito
94,26-40,Chat no site,5,Nao,Sim,Sim,1,3,Sim,Nao-Satisfeito
95,26-40,WhatsApp,5,Sim,Nao,Sim,3,4,Sim,Satisfeito
96,26-40,Telefone,14,Sim,Nao,Sim,2,5,Sim,Satisfeito
97,26-40,Telefone,10,Sim,Nao,Sim,4,5,Sim,Satisfeito
98,18-25,E-mail,35,Sim,Nao,Sim,2,3,Nao,Nao-Satisfeito
99,18-25,Telefone,2,Sim,Nao,Nao,3,3,Sim,Satisfeito
100,60+,WhatsApp,5,Sim,Nao,Nao,3,2,Sim,Nao-Satisfeito
101,60+,Chat no site,1,Sim,Nao,Sim,5,5,Sim,Satisfeito
102,41-60,WhatsApp,1,Sim,Nao,Sim,3,5,Sim,Satisfeito
103,18-25,WhatsApp,9,Sim,Nao,Sim,4,5,Sim,Satisfeito
104,60+,Telefone,16,Sim,Nao,Nao,1,4,Sim,Nao-Satisfeito
105,41-60,Telefone,8,Sim,Nao,Sim,4,5,Sim,Satisfeito
106,41-60,WhatsApp,1,Sim,Nao,Nao,2,4,Sim,Nao-Satisfeito
107,26-40,WhatsApp,1,Sim,Nao,Sim,3,3,Sim,Nao-Satisfeito
108,18-25,WhatsApp,4,Sim,Nao,Nao,3,5,Sim,Satisfeito
109,18-25,WhatsApp,12,Sim,Nao,Sim,2,5,Sim,Satisfeito
110,60+,WhatsApp,7,Sim,Nao,Sim,4,5,Sim,Satisfeito
111,26-40,Chat no site,3,Sim,Nao,Sim,4,5,Sim,Satisfeito
112,18-25,WhatsApp,7,Sim,Nao,Sim,4,4,Sim,Satisfeito
113,26-40,Presencial,4,Nao,Sim,Sim,1,4,Nao,Nao-Satisfeito
114,26-40,E-mail,21,Sim,Nao,Sim,3,4,Sim,Satisfeito
115,18-25,Telefone,12,Sim,Nao,Sim,4,5,Sim,Satisfeito
116,41-60,WhatsApp,5,Sim,Nao,Sim,2,3,Sim,Nao-Satisfeito
117,41-60,Telefone,16,Sim,Nao,Sim,2,4,Nao,Nao-Satisfeito
118,41-60,E-mail,28,Sim,Nao,Sim,4,5,Sim,Satisfeito
119,26-40,Chat no site,6,Sim,Nao,Nao,3,4,Sim,Satisfeito
120,26-40,E-mail,17,Nao,Nao,Sim,2,4,Nao,Nao-Satisfeito
121,26-40,Telefone,16,Sim,Nao,Sim,5,5,Sim,Satisfeito
122,26-40,Chat no site,8,Sim,Nao,Nao,3,4,Nao,Nao-Satisfeito
123,18-25,WhatsApp,3,Sim,Nao,Nao,3,5,Sim,Satisfeito
124,26-40,Chat no site,3,Sim,Nao,Sim,5,5,Sim,Satisfeito
125,18-25,WhatsApp,9,Sim,Nao,Nao,3,3,Nao,Nao-Satisfeito
126,26-40,Chat no site,4,Sim,Nao,Sim,3,4,Nao,Satisfeito
127,26-40,E-mail,40,Sim,Nao,Sim,3,5,Sim,Satisfeito
128,18-25,WhatsApp,4,Nao,Nao,Sim,2,4,Sim,Nao-Satisfeito
129,18-25,Telefone,19,Sim,Nao,Sim,3,4,Sim,Satisfeito
130,26-40,WhatsApp,6,Sim,Nao,Sim,3,4,Sim,Satisfeito
131,18-25,Chat no site,5,Sim,Nao,Sim,5,5,Sim,Satisfeito
132,60+,WhatsApp,10,Sim,Nao,Sim,4,5,Sim,Satisfeito
133,26-40,Presencial,12,Sim,Nao,Sim,3,4,Sim,Satisfeito
134,26-40,WhatsApp,3,Sim,Nao,Sim,4,5,Sim,Satisfeito
135,26-40,Presencial,11,Nao,Sim,Sim,2,2,Nao,Nao-Satisfeito
136,18-25,E-mail,30,Sim,Nao,Sim,3,5,Sim,Satisfeito
137,60+,Telefone,3,Sim,Nao,Sim,4,5,Sim,Satisfeito
138,26-40,Chat no site,6,Sim,Nao,Sim,2,4,Sim,Satisfeito
139,41-60,Chat no site,3,Sim,Nao,Sim,4,5,Sim,Satisfeito
140,18-25,Presencial,22,Sim,Nao,Sim,5,5,Sim,Satisfeito
141,26-40,WhatsApp,1,Sim,Nao,Sim,4,5,Sim,Satisfeito
142,26-40,Telefone,7,Sim,Nao,Nao,3,3,Sim,Nao-Satisfeito
143,60+,WhatsApp,1,Sim,Nao,Sim,3,4,Sim,Satisfeito
144,26-40,Telefone,7,Nao,Nao,Nao,1,2,Nao,Nao-Satisfeito
145,26-40,WhatsApp,6,Sim,Nao,Sim,3,4,Sim,Satisfeito
146,18-25,Telefone,11,Nao,Sim,Sim,1,3,Nao,Nao-Satisfeito
147,26-40,Telefone,10,Sim,Nao,Sim,4,5,Sim,Satisfeito
148,26-40,Telefone,11,Sim,Nao,Sim,2,3,Nao,Nao-Satisfeito
149,26-40,Telefone,13,Sim,Nao,Nao,3,4,Sim,Satisfeito
150,18-25,Chat no site,2,Sim,Nao,Nao,3,4,Sim,Satisfeito
151,41-60,Chat no site,6,Sim,Sim,Nao,3,4,Sim,Nao-Satisfeito
152,41-60,Telefone,15,Nao,Sim,Sim,1,2,Nao,Nao-Satisfeito
153,18-25,Telefone,14,Sim,Nao,Sim,4,4,Sim,Satisfeito
154,26-40,Presencial,18,Sim,Nao,Sim,4,4,Sim,Satisfeito
155,18-25,WhatsApp,6,Nao,Nao,Sim,3,4,Sim,Nao-Satisfeito
156,41-60,WhatsApp,11,Sim,Nao,Sim,2,5,Sim,Satisfeito
157,26-40,WhatsApp,5,Sim,Nao,Sim,4,4,Sim,Satisfeito
158,41-60,Chat no site,4,Sim,Nao,Sim,4,5,Sim,Satisfeito
159,41-60,Telefone,7,Sim,Nao,Nao,2,5,Sim,Nao-Satisfeito
160,41-60,Chat no site,2,Sim,Nao,Sim,4,5,Sim,Satisfeito
161,18-25,Chat no site,2,Sim,Sim,Sim,4,5,Sim,Satisfeito
162,60+,WhatsApp,3,Sim,Nao,Sim,4,5,Sim,Satisfeito
163,18-25,E-mail,24,Sim,Nao,Sim,3,5,Nao,Satisfeito
164,18-25,Chat no site,5,Sim,Sim,Sim,4,3,Sim,Nao-Satisfeito
165,26-40,WhatsApp,6,Sim,Nao,Sim,5,4,Sim,Satisfeito
166,26-40,WhatsApp,3,Sim,Nao,Sim,5,5,Sim,Satisfeito
167,41-60,WhatsApp,8,Sim,Nao,Sim,1,3,Sim,Nao-Satisfeito
168,41-60,WhatsApp,7,Sim,Nao,Nao,3,4,Sim,Satisfeito
169,26-40,WhatsApp,5,Sim,Nao,Sim,3,4,Sim,Satisfeito
170,60+,Presencial,10,Sim,Nao,Sim,2,3,Nao,Nao-Satisfeito
171,26-40,Telefone,14,Sim,Nao,Sim,3,5,Sim,Satisfeito
172,26-40,WhatsApp,6,Sim,Nao,Sim,4,5,Sim,Satisfeito
173,18-25,Chat no site,1,Nao,Sim,Sim,1,3,Nao,Nao-Satisfeito
174,60+,Telefone,11,Sim,Nao,Sim,4,5,Sim,Satisfeito
175,18-25,Presencial,16,Sim,Nao,Sim,3,5,Sim,Satisfeito
176,18-25,Chat no site,2,Sim,Nao,Sim,3,5,Sim,Satisfeito
177,26-40,Telefone,13,Sim,Nao,Sim,5,5,Sim,Satisfeito
178,60+,WhatsApp,2,Sim,Nao,Sim,3,4,Sim,Satisfeito
179,41-60,Presencial,24,Sim,Nao,Nao,3,4,Sim,Satisfeito
180,41-60,Chat no site,7,Nao,Sim,Sim,1,3,Sim,Nao-Satisfeito
181,41-60,Presencial,13,Sim,Nao,Sim,5,5,Sim,Satisfeito
182,41-60,WhatsApp,6,Sim,Sim,Nao,3,2,Sim,Nao-Satisfeito
183,26-40,E-mail,1,Nao,Sim,Sim,2,3,Nao,Nao-Satisfeito
184,26-40,Chat no site,2,Sim,Nao,Sim,4,5,Sim,Satisfeito
185,41-60,WhatsApp,5,Sim,Nao,Nao,2,4,Nao,Nao-Satisfeito
186,41-60,Telefone,6,Nao,Nao,Sim,3,4,Nao,Nao-Satisfeito
187,26-40,Chat no site,6,Nao,Sim,Sim,2,3,Nao,Nao-Satisfeito
188,18-25,WhatsApp,11,Sim,Nao,Sim,3,5,Sim,Satisfeito
189,41-60,Telefone,5,Sim,Nao,Sim,3,5,Sim,Satisfeito
190,18-25,E-mail,15,Sim,Nao,Sim,3,5,Sim,Satisfeito
191,60+,WhatsApp,6,Sim,Nao,Sim,4,5,Sim,Satisfeito
192,18-25,Telefone,20,Sim,Nao,Sim,3,5,Sim,Satisfeito
193,18-25,Telefone,5,Sim,Nao,Sim,4,5,Nao,Satisfeito
194,41-60,WhatsApp,6,Sim,Nao,Sim,3,5,Nao,Satisfeito
195,18-25,E-mail,45,Nao,Sim,Sim,2,4,Sim,Nao-Satisfeito
196,18-25,Chat no site,1,Sim,Nao,Sim,3,4,Sim,Satisfeito
197,26-40,WhatsApp,2,Sim,Nao,Nao,5,5,Sim,Satisfeito
198,41-60,Presencial,12,Sim,Nao,Sim,2,4,Nao,Nao-Satisfeito
199,18-25,E-mail,19,Nao,Sim,Sim,3,3,Sim,Nao-Satisfeito
200,26-40,WhatsApp,8,Sim,Nao,Sim,5,5,Sim,Satisfeito
201,41-60,E-mail,27,Sim,Nao,Sim,2,5,Sim,Satisfeito
202,60+,WhatsApp,1,Sim,Nao,Sim,5,5,Sim,Satisfeito
