ID_Resposta,Faixa_etaria,Canal_de_atendimento,Tempo_de_espera_minutos,Problema_foi_resolvido,Precisou_contato_novamente,Atendimento_foi_cordial,Facilidade_para_resolver_1_a_5,Nota_para_o_atendimento_1_a_5,Voltaria_a_comprar,Satisfacao
1,41-60,Chat no site,6,Nao,Nao,Sim,1,4,Nao,1
2,26-40,WhatsApp,4,Sim,Nao,Sim,2,5,Sim,1
3,41-60,Telefone,11,Sim,Nao,Sim,2,5,Sim,1
4,41-60,Chat no site,5,Sim,Sim,Sim,3,3,Nao,0
5,18-25,Telefone,16,Sim,Nao,Nao,4,5,Sim,1
6,60+,WhatsApp,4,Sim,Nao,Sim,3,5,Sim,1
7,41-60,E-mail,30,Sim,Nao,Sim,4,5,Sim,1
8,41-60,Chat no site,4,Sim,Sim,Sim,4,5,Sim,1
9,18-25,Chat no site,4,Sim,Nao,Sim,4,5,Sim,1
10,26-40,WhatsApp,8,Nao,Sim,Sim,1,2,Nao,0
11,26-40,WhatsApp,1,Sim,Nao,Sim,4,5,Sim,1
12,60+,Presencial,6,Sim,Nao,Sim,4,4,Sim,1
13,26-40,WhatsApp,1,Sim,Nao,Nao,3,4,Nao,1
14,41-60,WhatsApp,1,Sim,Nao,Sim,4,5,Sim,1
15,26-40,Telefone,8,Sim,Nao,Sim,4,5,Sim,1
16,18-25,Chat no site,6,Nao,Nao,Sim,1,1,Sim,0
17,26-40,Presencial,13,Sim,Nao,Nao,2,3,Sim,0
18,18-25,WhatsApp,6,Sim,Nao,Sim,3,5,Sim,1
19,41-60,Presencial,22,Sim,Nao,Sim,3,4,Sim,1
20,26-40,WhatsApp,9,Sim,Nao,Sim,4,5,Sim,1
21,41-60,Telefone,11,Sim,Nao,Sim,3,4,Sim,1
22,26-40,Chat no site,8,Nao,Sim,Nao,1,3,Nao,0
23,60+,WhatsApp,6,Sim,Nao,Sim,4,5,Sim,1
24,41-60,WhatsApp,3,Sim,Nao,Sim,4,5,Sim,1
25,41-60,Telefone,8,Nao,Sim,Sim,3,5,Sim,1
26,18-25,Presencial,5,Sim,Nao,Sim,5,5,Sim,1
27,26-40,Telefone,7,Nao,Sim,Nao,1,2,Nao,0
28,18-25,Presencial,12,Sim,Nao,Sim,5,5,Sim,1
29,18-25,E-mail,34,Sim,Nao,Sim,2,4,Nao,1
30,41-60,Telefone,21,Sim,Nao,Nao,3,4,Nao,1
31,41-60,Chat no site,1,Sim,Nao,Nao,3,4,Sim,1
32,60+,WhatsApp,7,Nao,Sim,Sim,2,3,Nao,0
33,26-40,WhatsApp,3,Sim,Nao,Sim,2,5,Nao,1
34,26-40,E-mail,30,Sim,Nao,Sim,3,4,Sim,1
35,26-40,Chat no site,4,Sim,Sim,Sim,2,5,Sim,1
36,18-25,WhatsApp,1,Sim,Nao,Sim,4,5,Sim,1
37,18-25,Telefone,17,Nao,Sim,Sim,3,4,Nao,1
38,26-40,Telefone,8,Nao,Sim,Nao,1,2,Sim,0
39,18-25,E-mail,18,Sim,Nao,Nao,3,5,Sim,1
40,41-60,Telefone,6,Sim,Nao,Nao,2,3,Nao,0
41,26-40,Telefone,8,Sim,Nao,Nao,2,3,Sim,0
42,41-60,WhatsApp,7,Sim,Nao,Sim,4,5,Sim,1
43,41-60,Telefone,10,Nao,Sim,Sim,2,3,Sim,0
44,26-40,Chat no site,5,Sim,Nao,Sim,5,5,Nao,1
45,41-60,E-mail,29,Sim,Nao,Sim,3,4,Nao,1
46,41-60,Telefone,19,Sim,Nao,Sim,4,4,Sim,1
47,26-40,WhatsApp,5,Nao,Sim,Sim,2,2,Nao,0
48,26-40,WhatsApp,2,Sim,Nao,Sim,4,4,Sim,1
49,41-60,Chat no site,7,Sim,Nao,Sim,3,5,Sim,1
50,18-25,E-mail,21,Sim,Nao,Sim,3,5,Sim,1
51,18-25,WhatsApp,9,Sim,Nao,Sim,3,5,Sim,1
52,18-25,WhatsApp,7,Sim,Nao,Sim,3,3,Sim,0
53,41-60,Telefone,11,Sim,Nao,Sim,4,5,Sim,1
54,41-60,WhatsApp,6,Sim,Nao,Nao,3,4,Sim,1
55,41-60,E-mail,46,Nao,Nao,Nao,1,3,Nao,0
56,41-60,WhatsApp,11,Sim,Nao,Sim,5,4,Sim,1
57,26-40,WhatsApp,6,Sim,Sim,Sim,5,5,Sim,1
58,26-40,Presencial,16,Nao,Nao,Sim,1,4,Sim,1
59,18-25,WhatsApp,8,Sim,Nao,Sim,4,5,Sim,1
60,18-25,WhatsApp,3,Sim,Nao,Nao,2,4,Sim,1
61,41-60,WhatsApp,6,Sim,Nao,Sim,3,5,Sim,1
62,26-40,WhatsApp,5,Nao,Sim,Sim,1,3,Nao,0
63,26-40,WhatsApp,6,Sim,Nao,Sim,5,5,Sim,1
64,41-60,WhatsApp,3,Sim,Nao,Sim,4,5,Sim,1
65,26-40,WhatsApp,1,Nao,Sim,Nao,1,2,Sim,0
66,26-40,WhatsApp,1,Sim,Sim,Sim,5,4,Nao,1
67,26-40,Telefone,5,Sim,Nao,Sim,2,5,Sim,1
68,26-40,Chat no site,3,Sim,Nao,Sim,2,5,Sim,1
69,18-25,WhatsApp,5,Sim,Nao,Sim,4,5,Sim,1
70,26-40,WhatsApp,11,Sim,Nao,Nao,3,4,Sim,1
71,18-25,Telefone,17,Sim,Nao,Nao,3,4,Nao,1
72,26-40,E-mail,14,Sim,Nao,Sim,2,4,Sim,1
73,41-60,E-mail,28,Sim,Nao,Sim,3,4,Sim,1
74,18-25,WhatsApp,4,Nao,Nao,Sim,4,4,Sim,1
